Date,Price,Open,High,Low,Vol.,Change %,,
10-Dec-14,3321.05,3325.00,3345.70,3305.05,20.49K,-0.34%,,
9-Dec-14,3332.25,3375.00,3380.60,3319.60,13.30K,-1.36%,,
8-Dec-14,3378.35,3410.00,3434.00,3360.55,22.63K,-0.80%,,
5-Dec-14,3405.60,3400.00,3414.00,3392.40,8.07K,-0.03%,,
4-Dec-14,3406.50,3399.95,3412.00,3387.30,19.07K,0.39%,,
3-Dec-14,3393.35,3362.15,3411.95,3362.15,46.27K,0.97%,,
2-Dec-14,3360.90,3389.05,3393.60,3353.20,14.03K,-0.85%,,
1-Dec-14,3389.65,3340.00,3432.00,3337.00,47.70K,1.61%,,
28-Nov-14,3336.10,3270.00,3350.00,3270.00,30.02K,2.25%,,
27-Nov-14,3262.75,3275.30,3304.30,3255.10,154.11K,-0.54%,,
26-Nov-14,3280.40,3280.05,3305.80,3250.35,20.91K,-0.28%,,
25-Nov-14,3289.45,3364.00,3386.70,3282.05,34.30K,-1.69%,,
24-Nov-14,3346.05,3336.00,3361.10,3335.00,14.77K,-0.08%,,
21-Nov-14,3348.80,3335.60,3361.50,3308.05,31.11K,0.40%,,
20-Nov-14,3335.30,3345.00,3362.00,3312.75,17.01K,-0.13%,,
19-Nov-14,3339.55,3385.00,3389.10,3327.95,17.44K,-0.78%,,
18-Nov-14,3365.85,3335.50,3377.60,3328.00,19.91K,0.71%,,
17-Nov-14,3342.15,3338.85,3367.70,3316.00,15.83K,0.15%,,
14-Nov-14,3337.25,3332.50,3350.00,3323.00,11.24K,0.17%,,
13-Nov-14,3331.75,3369.00,3397.60,3320.00,23.66K,-0.67%,,
12-Nov-14,3354.25,3330.00,3364.00,3313.35,25.41K,0.81%,,
11-Nov-14,3327.25,3300.00,3334.00,3288.50,22.83K,0.57%,,
10-Nov-14,3308.25,3280.00,3316.70,3270.00,21.00K,0.46%,,
7-Nov-14,3293.05,3289.35,3318.00,3250.10,25.35K,0.11%,,
5-Nov-14,3289.35,3282.55,3326.60,3280.00,23.71K,0.11%,,
3-Nov-14,3285.60,3330.00,3330.00,3275.00,35.68K,-1.58%,,
31-Oct-14,3338.35,3272.40,3349.00,3246.00,113.29K,2.97%,,
30-Oct-14,3242.15,3220.00,3297.00,3173.95,157.79K,1.14%,,
29-Oct-14,3205.45,3155.15,3217.60,3146.00,23.10K,1.74%,,
28-Oct-14,3150.60,3170.00,3173.10,3130.00,28.17K,-0.61%,,
27-Oct-14,3169.95,3170.00,3188.50,3140.00,24.00K,0.17%,,
23-Oct-14,3164.60,3185.00,3195.00,3118.25,8.69K,-0.54%,,
22-Oct-14,3181.70,3080.00,3188.40,3080.00,44.07K,3.44%,,
21-Oct-14,3075.90,3007.00,3093.00,3006.85,31.16K,2.30%,,
20-Oct-14,3006.85,2950.00,3012.75,2950.00,15.51K,2.17%,,
17-Oct-14,2942.90,2930.00,2957.00,2903.25,28.04K,0.13%,,
16-Oct-14,2939.20,2961.00,2977.90,2913.40,18.92K,-0.76%,,
14-Oct-14,2961.85,2981.50,2994.40,2949.10,13.94K,-0.24%,,
13-Oct-14,2968.85,2962.00,2980.00,2928.00,16.23K,0.12%,,
10-Oct-14,2965.15,2994.50,2994.50,2942.00,22.92K,-1.24%,,
9-Oct-14,3002.45,2957.00,3015.00,2957.00,24.78K,1.77%,,
